Store_ID,Store_Name,License_Number,Address,Store_Type_ID,Zip_Code,Latitude,Longitude
1939,DUNKIN DONUT BASKIN ROBIN & TOGO'S,1168800,5959 W DIVERSEY AVE,1,60639,41.9310303,-87.77590313
1940,PANADERIA Y PIZZERIA LA VILLA,2550529,5050-5054 W FULLERTON AVE,5,60639,41.92425667,-87.75325758
1941,ASIAN TOWN NOODLES,2684389,7534-7536 W ADDISON ST,1,60634,41.94520738,-87.81568964
1942,BOKA,1358217,1727-1729 N HALSTED ST,1,60614,41.91360108,-87.64820898
1943,BEOGRAD CAFE AND RESTAURANT,2432410,2933-2939 W IRVING PARK RD,1,60618,41.95384602,-87.70204329
1944,TAQUERIA  CD  HIDALGO,2078867,7104 N CLARK ST,1,60626,42.01158136,-87.67461423
1945,TONY'S MICHOACANA,2637119,4618 S KEDZIE AVE,1,60632,41.80933541,-87.70417003
1946,STAN'S DONUTS & COFFEE,2437482,26 E ROOSEVELT RD FL,1,60605,41.86753863,-87.62620848
1947,SAFARI SOMALI CUISINE,2564379,6319 N RIDGE AVE,1,60660,41.99614919,-87.67583275
1948,SHELL FOOD MART,1696761,5201 W ADDISON ST,2,60641,41.94588918,-87.75704112
1949,S&D FOOD MART,2601262,410 S LARAMIE AVE,2,60644,41.87446083,-87.75499005
1950,JEWEL FOOD STORE #3234,2516920,102 W DIVISION ST,2,60610,41.90400775,-87.63161084
1951,EDENS CONVIENANT LIQUOR STORE,1447111,4805 W FOSTER AVE,2,60630,41.97522809,-87.74823152
1952,CANTON STAR CHINESE RESTAURANT,2177676,2230 S WESTERN AVE,1,60608,41.85116232,-87.68576315
1953,SUBWAY,1980425,3551 N CENTRAL AVE,1,60634,41.94559899,-87.76659924
1954,FRAN'S BEEF,45274,2021 S BLUE ISLAND AVE,1,60608,41.85457222,-87.66378596
1955,SHARK'S FISH & CHICKEN,2699062,6237 S HALSTED ST,1,60621,41.78033109,-87.64465439
1956,JEWEL/STARBUCKS,2293801,1340 S CANAL ST,2,60607,41.86452119,-87.6393041
1957,Hash,2198209,1357 N WESTERN AVE,1,60622,41.90652074,-87.68697283
1958,BRONZEVILLE CONVENIENCE MART,2148047,450 E 43RD ST,2,60653,41.81678524,-87.61447743
1959,BONGO ROOM,1335879,1152 S WABASH AVE,1,60605,41.86769438,-87.62597903
